Train_loss,Train_loss_index
192.8438,463
192.8626,464
192.6519,465
192.4347,466
192.1657,467
191.88,468
191.5292,469
191.1669,470
190.8707,471
190.5776,472
190.2562,473
189.918,474
189.729,475
189.4795,476
189.2199,477
188.957,478
188.6293,479
188.3345,480
188.6004,481
188.24,482
187.9724,483
187.7393,484
187.4039,485
187.3357,486
187.1289,487
186.8354,488
186.5042,489
186.1471,490
185.8711,491
185.5707,492
185.2921,493
184.9741,494
184.6936,495
184.3922,496
184.0797,497
184.1399,498
183.8607,499
183.5721,500
183.2653,501
183.0275,502
182.8146,503
182.6572,504
182.5327,505
182.3489,506
182.1408,507
181.8381,508
181.5839,509
181.3905,510
181.1832,511
180.8929,512
180.7606,513
180.5796,514
180.4734,515
180.1825,516
180.169,517
179.8801,518
179.7008,519
179.612,520
179.3496,521
179.1211,522
178.9127,523
178.6354,524
178.4138,525
178.1421,526
177.8872,527
177.6357,528
177.502,529
177.5134,530
177.3157,531
177.122,532
176.8665,533
176.5799,534
176.4307,535
176.1568,536
175.8954,537
175.6239,538
175.3506,539
175.7529,540
175.502,541
175.2762,542
175.1114,543
175.4591,544
175.2216,545
175.1526,546
174.9085,547
174.6826,548
174.4626,549
174.2625,550
174.1536,551
173.9633,552
173.7539,553
173.517,554
173.2534,555
173.1007,556
172.8907,557
172.8276,558
172.5715,559
172.3761,560
172.1658,561
171.9353,562
171.6708,563
171.4623,564
172.0213,565
171.7466,566
171.5466,567
171.3145,568
171.1943,569
171.5589,570
171.3547,571
171.1204,572
170.8874,573
170.71,574
170.4841,575
170.2323,576
170.0533,577
169.8859,578
169.6494,579
169.3914,580
169.2075,581
169.0104,582
168.7761,583
168.6101,584
168.3829,585
168.1796,586
168.5831,587
168.3851,588
168.2842,589
168.1446,590
168.0313,591
167.7962,592
167.556,593
167.3772,594
167.1689,595
166.9421,596
166.7853,597
166.6771,598
166.4708,599
166.5133,600
166.2976,601
166.1229,602
166.0497,603
165.9166,604
165.6948,605
165.4753,606
165.3008,607
165.1356,608
164.8979,609
164.701,610
164.4996,611
164.4667,612
164.3611,613
164.1846,614
164.0409,615
164.0301,616
163.8372,617
163.7876,618
163.6221,619
163.4733,620
163.4785,621
163.3286,622
163.1719,623
163.0095,624
162.8679,625
162.6444,626
162.4774,627
162.3017,628
162.0955,629
162.274,630
162.1102,631
162.0623,632
161.9528,633
161.7536,634
161.5445,635
161.5583,636
161.3786,637
161.1794,638
160.9626,639
160.7797,640
160.6151,641
160.5063,642
160.2783,643
160.0972,644
159.8828,645
159.7109,646
159.5762,647
159.5943,648
159.4298,649
159.3086,650
159.5964,651
159.4525,652
159.2465,653
159.0824,654
158.9193,655
158.8065,656
158.6422,657
159.0232,658
158.999,659
159.3102,660
159.2392,661
159.0603,662
158.9344,663
158.9234,664
158.7791,665
158.6017,666
158.4659,667
158.3179,668
158.1313,669
158.2772,670
158.1387,671
157.9775,672
157.8436,673
157.98,674
157.8917,675
157.8054,676
157.7008,677
157.6818,678
157.4953,679
157.4485,680
157.2657,681
157.1735,682
157.0249,683
156.8701,684
156.675,685
156.49,686
156.4716,687
156.37,688
156.2044,689
156.2806,690
156.2434,691
156.1164,692
156.0168,693
156.1156,694
155.9788,695
155.775,696
156.1657,697
156.0231,698
155.9275,699
155.7975,700
155.6067,701
155.4133,702
155.2993,703
155.2505,704
155.0612,705
154.896,706
154.8681,707
154.7715,708
154.6729,709
154.9964,710
155.0354,711
154.8503,712
154.6584,713
154.4959,714
154.348,715
154.2625,716
154.6126,717
154.4662,718
154.3223,719
154.1762,720
154.1602,721
154.0166,722
153.857,723
153.8464,724
153.6765,725
153.522,726
153.3936,727
153.2584,728
153.1548,729
153.0058,730
152.8288,731
153.605,732
153.4519,733
153.2987,734
153.243,735
153.0889,736
153.0425,737
152.905,738
152.7485,739
152.5825,740
152.4074,741
152.2505,742
152.1996,743
152.1242,744
151.9739,745
151.8687,746
152.0296,747
151.9077,748
151.738,749
151.5773,750
151.4672,751
151.3664,752
151.1914,753
151.0324,754
150.9774,755
151.0469,756
150.8991,757
150.7675,758
150.594,759
150.5406,760
150.3669,761
150.2413,762
150.5195,763
150.4611,764
150.5656,765
150.524,766
150.4092,767
150.3654,768
150.3739,769
150.2037,770
150.0722,771
150.0163,772
149.9352,773
149.8047,774
149.6898,775
149.5582,776
149.4323,777
149.3071,778
149.1767,779
149.0124,780
148.8663,781
148.7297,782
148.5858,783
148.4735,784
148.3117,785
148.151,786
148.1992,787
148.0916,788
147.98,789
147.8448,790
147.7046,791
147.5541,792
147.4627,793
147.779,794
147.6458,795
147.9124,796
147.8321,797
147.7667,798
147.6352,799
147.5494,800
147.5604,801
147.4542,802
147.3333,803
147.2028,804
147.0683,805
147.0467,806
147.0396,807
146.9008,808
146.7546,809
146.6245,810
146.534,811
146.4192,812
146.3119,813
146.1831,814
146.0383,815
146.0053,816
145.8698,817
145.7923,818
145.6618,819
145.559,820
145.4235,821
145.2852,822
145.138,823
145.0346,824
145.1696,825
145.1093,826
145.1237,827
145.043,828
144.9825,829
144.8812,830
144.813,831
144.7779,832
144.6744,833
144.5536,834
144.6172,835
144.4827,836
144.3854,837
144.2223,838
144.181,839
144.0543,840
144.0068,841
143.8716,842
143.749,843
