,id,name,reviews_per_month,number_of_reviews,review_scores_rating,first_review,availability_365,num_reviews_sqrt
567,144087,LUXURY OF THE HORIZON,0.16,13,97.0,2011-07-03,365,1.1476826161227638
568,144148,1 Bdrm in 4 Bdrm dupelx/roof deck,0.8,34,91.0,2014-09-07,0,1.8560496339913664
569,144428,"1 bedroom midtown east, 50th & 2nd",0.67,54,90.0,2011-07-30,212,2.3390904037010283
570,145064,The Heart of Prime Williamsburg,0.1,8,94.0,2011-06-26,0,0.9003163161571062
572,145994,Cozy 1 Bedroom with Private Garden,0.13,1,80.0,2017-07-11,0,0.3183098861837907
573,146189,"Your own colorful, light filled Village home",0.12,10,91.0,2011-07-25,0,1.0065842420897408
574,146754,Quiet house in a family friendly neighborhood,0.83,46,97.0,2013-08-13,234,2.158882684989515
575,147586,Beautiful Duplex w/Private Garden,0.64,52,98.0,2011-06-27,257,2.2953652322455276
576,148201,NYC - Sunny Greenwich Village 1br,0.22,18,98.0,2011-08-01,0,1.3504744742356591
577,148259,Garage Designer Loft,0.82,55,99.0,2012-08-30,353,2.360649296343821
578,148825,Best Columbia U Upper West Side C Park 2-Bed rooms,1.97,141,93.0,2012-04-23,253,3.7797204782324347
581,149777,"Artsy, one bedroom 20 min from 42nd Grand Central!",2.02,127,92.0,2013-01-04,331,3.5871702388619497
582,150285,"Bedroom, Kitch, Bath on 3rd Floor",0.1,7,100.0,2012-04-05,0,0.8421687986955848
583,150804,Lower East Side 2 Bed Apt.,0.09,7,100.0,2011-08-18,244,0.8421687986955848
584,150883,Charming West Village Apartment,0.31,25,98.0,2011-07-08,354,1.5915494309189535
585,151199,Astoria Apt-Private Home NYC,4.16,328,96.0,2011-09-10,294,5.764837225341822
587,152078,"Charming 2 bdr Apt- East Village,NY",0.24,16,95.0,2012-09-01,357,1.2732395447351628
588,152259,City Room - Semi Private Bedroom,1.22,99,95.0,2011-06-28,358,3.167143378597098
589,152263,Cozy apartment in a brownstone,1.9,149,95.0,2011-09-26,273,3.885467328740306
590,152520,Female Only Clean15min to Manhattan,0.61,49,96.0,2011-07-24,340,2.228169203286535
591,153405,Greenpoint Spacious Loft,1.02,81,98.0,2011-08-31,50,2.864788975654116
592,153780,Private E. Village Townhouse Stay,1.77,143,97.0,2011-07-16,332,3.8064326160926982
593,154934,Harlem/Hamilton Heights Cozy Room,0.5,37,88.0,2012-02-10,365,1.9362034487022528
594,155158,SPACIOUS 1 BR LOFT IN EAST VILLAGE,1.75,142,96.0,2011-07-02,267,3.793100061587087
595,155296,Incredible Prime Williamsburg Loft!,0.5,31,96.0,2013-01-18,39,1.77227444063059
596,157431,"Room 1, Victorian Home to Enjoy!",1.77,124,98.0,2012-05-29,325,3.54454888126118
597,157442,Sunny 1 bedroom apt & private deck,0.29,23,98.0,2011-08-02,306,1.526560586342307
598,157673,Large  Loft Style  Studio  Space,1.01,81,89.0,2011-08-04,168,2.864788975654116
599,158061,Hancock Town House!-Stuyvesant Mews,0.33,27,91.0,2011-07-19,365,1.6539866862653763
600,158176,Entire Apt in Heart of Williamsburg,1.2,90,94.0,2012-01-03,24,3.019752726269222
601,158290,Clinton Hill + Free Coffee = #smile,0.5,41,90.0,2011-07-04,365,2.0381777472379214
602,158913,"Nice, cozy, neat apt Greenpoint,BK",0.06,4,100.0,2012-05-28,0,0.6366197723675814
603,158955,PRIVATE and SUNNY Williamsburg Apt!,3.88,310,87.0,2011-08-12,222,5.604423871293526
604,159019,"Brooklyn Riad, Easy to the City!",1.98,58,95.0,2015-10-09,63,2.424175870529115
605,159749,Purple Room for 2/3 in brownstone $1450 per month,0.57,44,97.0,2011-10-29,221,2.111428919064732
606,159815,Red Room for two in Brownstone for $1355/mo,0.13,10,98.0,2011-10-11,195,1.0065842420897408
607,159913,"Chelsea living, 2BR best location",0.24,1,100.0,2017-10-29,363,0.3183098861837907
608,160609,WinterSpecialCentralPark/UWS 60's,0.11,7,95.0,2012-09-24,0,0.8421687986955848
609,160952,King Size Comfort,0.17,14,85.0,2011-07-21,365,1.191006536922753
610,160994,In the heart of East Village,1.09,86,97.0,2011-09-16,321,2.951884447813134
611,161394,Surfer room 15mins to downtown NYC!,0.04,3,87.0,2011-08-25,0,0.5513288954217921
612,161996,Manhattan Penthouse-Max.12 guests ,2.01,163,93.0,2011-07-11,262,4.063908578413281
613,162493,Prime Williamsburg 3 BR with Deck,1.09,33,99.0,2015-09-06,5,1.8285510821951754
614,162501,Private Spacious Modern Studio,0.11,9,96.0,2011-07-18,301,0.954929658551372
615,162508,Beautiful Brooklyn Oasis ,0.24,16,80.0,2012-08-22,0,1.2732395447351628
616,162565,"Sunny 1-BR, Meatpacking District",0.17,11,95.0,2012-09-19,67,1.055714459532366
617,163627,Blue Room in Awesome Artist's Apartment!,2.83,205,91.0,2012-03-21,0,4.557503993051377
618,163809,Cool & Spacious Harlem Artist Flat,0.21,17,98.0,2011-08-11,169,1.3124252824141047
619,163814,Studio in East village/own bath!,2.73,217,78.0,2011-08-23,350,4.688997424864647
620,163836,Greenpoint Loft / Le Chez Andrea,0.83,67,82.0,2011-07-29,361,2.6054787091888953
621,164989,"*SoHo: Clean, Safe, Private, Peaceful Bedroom (A)*",0.35,28,94.0,2011-07-30,106,1.6843375973911696
622,165080,Amazing Brownstone in Best Brooklyn,0.05,4,100.0,2011-08-16,42,0.6366197723675814
623,165461,Couldn't Be Closer To Columbia Uni2,0.64,51,92.0,2011-08-20,337,2.273187270279162
624,165573,Architect's Bookseller's Roof Lair ,0.07,6,100.0,2011-07-26,0,0.779696801233676
625,165919,Beautiful Share In The Heart Of Bushwick,0.54,42,96.0,2011-10-01,299,2.062883834096866
626,166006,Nice Manhattan Apt Near Central Park and Subway,2.27,182,93.0,2011-07-30,244,4.294235138287781
627,166172,LG Private Room/Family Friendly,0.98,54,92.0,2013-08-22,0,2.3390904037010283
628,166279,Sunny Luxury East Village Apt w/ Private Roof Deck,0.28,22,98.0,2011-09-13,57,1.493005706664054
629,166541,Spacious Quiet rm - 20mins to Midtown,0.26,21,96.0,2011-07-30,308,1.458679147889999
630,166983,"3 BR, Beautiful Brooklyn Duplex",0.08,6,97.0,2011-09-03,0,0.779696801233676
631,167013,Spacious modern studio apartment in Manhattan,0.04,2,100.0,2013-10-03,65,0.4501581580785531
632,167222,CBG# 4Tiny room w/ huge window/AC,0.21,16,88.0,2011-10-24,247,1.2732395447351628
633,168084,Light-filled East Village Delight,0.69,52,97.0,2011-12-19,107,2.2953652322455276
